leaflet width,leaflet length ,stipels ,imbricate  calyx,habit,Brachyblasts ,fruit winged perpendicular to valves,habitat ,Species
2.2,7,0,1,2,1,0,1,1
3,6.3,0,1,2,1,0,1,1
3.4,8,0,1,2,1,0,1,1
3,4.3,0,1,2,1,0,1,1
2.2,5.4,0,1,2,1,0,1,1
3,6.4,0,1,2,1,0,1,1
2.9,6.5,0,1,2,1,0,1,1
2.9,6.7,0,1,2,1,0,1,1
3.2,5.4,0,1,2,1,0,1,1
2.6,4.4,0,1,2,1,0,1,1
2.7,5.6,0,1,2,1,0,1,1
3.5,6.5,0,1,2,1,0,1,1
3,8,0,1,2,1,0,1,1
3.7,7.3,0,1,2,1,0,1,1
3.8,7.4,0,1,2,1,0,1,1
2.8,5,0,1,2,1,0,1,1
2.5,5.5,0,1,2,1,0,1,1
3,6.1,0,1,2,1,0,1,1
2.4,5.9,0,1,2,1,0,1,1
3.5,6,0,1,2,1,0,1,1
2.5,5.2,0,1,2,1,0,1,1
3.2,5.8,0,1,2,1,0,1,1
2.9,5.9,0,1,2,1,0,1,1
3.5,5.9,0,1,2,1,0,1,1
3.1,6,0,1,2,1,0,1,1
2.4,5.4,0,1,2,1,0,1,1
3,5.6,0,1,2,1,0,1,1
3.1,6.9,0,1,2,1,0,1,1
2.5,5.4,0,1,2,1,0,1,1
2.6,5.6,0,1,2,1,0,1,1
3.4,5.3,0,1,2,1,0,1,1
4.7,8.3,0,1,2,1,0,1,1
3.6,7,0,1,2,1,0,1,1
3.7,7,0,1,2,1,0,1,1
4.2,7.5,0,1,2,1,0,1,1
3.5,6.9,0,1,2,1,0,1,1
3.9,7.3,0,1,2,1,0,1,1
4,8.9,0,1,2,1,0,1,1
3.1,6.5,0,1,2,1,0,1,1
4,7.1,0,1,2,1,0,1,1
3.3,6.5,0,1,2,1,0,1,1
3.1,6.3,0,1,2,1,0,1,1
2.9,5.8,0,1,2,1,0,1,1
3,6.7,0,1,2,1,0,1,1
3.1,6.1,0,1,2,1,0,1,1
3.1,5.5,0,1,2,1,0,1,1
2.8,6.2,0,1,2,1,0,1,1
3.2,6,0,1,2,1,0,1,1
2.9,6.8,0,1,2,1,0,1,1
4,7.5,0,1,2,1,0,1,1
2.6,6.4,0,1,2,1,0,1,1
2.5,4.8,0,1,2,1,0,1,1
3,5.3,0,1,2,1,0,1,1
2.4,6.4,0,1,2,1,0,1,1
2.8,6,0,1,2,1,0,1,1
2.4,5.8,0,1,2,1,0,1,1
3.4,7.5,0,1,2,1,0,1,1
3.5,7.3,0,1,2,1,0,1,1
3.4,5.4,0,1,2,1,0,1,1
2.5,6.6,0,1,2,1,0,1,1
2.6,6.6,0,1,2,1,0,1,1
2.6,5.1,0,1,2,1,0,1,1
2.7,5,0,1,2,1,0,1,1
4,6.5,0,1,2,1,0,1,1
3.5,8,0,1,2,1,0,1,1
4.2,8.1,0,1,2,1,0,1,1
2.6,5.2,0,1,2,1,0,1,1
2.1,4.4,0,1,2,1,0,1,1
4.1,8.5,0,1,2,1,0,1,1
2.7,6.1,0,1,2,1,0,1,1
3.9,8,0,1,2,1,0,1,1
3.2,5.7,0,1,2,1,0,1,1
2.6,4.8,0,1,2,1,0,1,1
2.3,5.5,0,1,2,1,0,1,1
2.4,4.5,0,1,2,1,0,1,1
2.5,4.5,0,1,2,1,0,1,1
4.2,11,1,0,2,1,0,1,2
6,10,1,0,2,1,0,1,2
3.6,10,1,0,2,1,0,1,2
3.3,6.2,1,0,2,1,0,1,2
4.1,11,1,0,2,1,0,1,2
4,11,1,0,2,1,0,1,2
4.1,10,1,0,2,1,0,1,2
4.4,9.4,1,0,2,1,0,1,2
4,9,1,0,2,1,0,1,2
4.93,10,1,0,2,1,0,1,2
4,15,1,0,2,1,0,1,2
5.5,11.5,1,0,2,1,0,1,2
6,12.5,1,0,2,1,0,1,2
4.1,10.5,1,0,2,1,0,1,2
5.2,11,1,0,2,1,0,1,2
4.1,10.7,1,0,2,1,0,1,2
4.2,10.1,1,0,2,1,0,1,2
4.2,8,1,0,2,1,0,1,2
3.2,8.1,1,0,2,1,0,1,2
3,7.5,1,0,2,1,0,1,2
3,8.3,1,0,2,1,0,1,2
3,8.6,1,0,2,1,0,1,2
5,11,1,0,2,1,0,1,2
3.5,8.7,1,0,2,1,0,1,2
4.2,9,1,0,2,1,0,1,2
4.8,8,1,0,2,1,0,1,2
3.3,8.5,1,0,2,1,0,1,2
3.2,8.5,1,0,2,1,0,1,2
4.3,10.2,1,0,2,1,0,1,2
3.2,9,1,0,2,1,0,1,2
3.9,11.6,1,0,2,1,0,1,2
3.4,9.5,1,0,2,1,0,1,2
3.9,9.5,1,0,2,1,0,1,2
3.6,9.7,1,0,2,1,0,1,2
4,9.9,1,0,2,1,0,1,2
4.4,10.2,1,0,2,1,0,1,2
3.8,9.8,1,0,2,1,0,1,2
4,10.7,1,0,2,1,0,1,2
4.9,11,1,0,2,1,0,1,2
4,10.5,1,0,2,1,0,1,2
3.8,10.3,1,0,2,1,0,1,2
5.1,11.2,1,0,2,1,0,1,2
3.9,10.5,1,0,2,1,0,1,2
4.7,9.5,1,0,2,1,0,1,2
4.1,8.6,1,0,2,1,0,1,2
4.3,10.6,1,0,2,1,0,1,2
4.7,10.6,1,0,2,1,0,1,2
3.9,9.6,1,0,2,1,0,1,2
3.3,8,1,0,2,1,0,1,2
3.5,8.8,1,0,2,1,0,1,2
3.8,10.1,1,0,2,1,0,1,2
3.9,10,1,0,2,1,0,1,2
4,10,1,0,2,1,0,1,2
3.4,9,1,0,2,1,0,1,2
4.6,10.2,1,0,2,1,0,1,2
4.5,10.6,1,0,2,1,0,1,2
5.5,12,1,0,2,1,0,1,2
3.5,9,1,0,2,1,0,1,2
3.5,9.5,1,0,2,1,0,1,2
4.8,10.8,1,0,2,1,0,1,2
3.7,9,1,0,2,1,0,1,2
3.7,8.7,1,0,2,1,0,1,2
4,8.5,1,0,2,1,0,1,2
4.4,9.7,1,0,2,1,0,1,2
4,10.2,1,0,2,1,0,1,2
2.9,7.3,1,0,2,1,0,1,2
4.6,9.7,1,0,2,1,0,1,2
3.7,8.6,1,0,2,1,0,1,2
4.3,8.7,1,0,2,1,0,1,2
4.5,12,1,0,2,1,0,1,2
4.3,11.5,1,0,2,1,0,1,2
4.5,7.1,1,0,2,1,0,1,2
6,13.4,1,0,2,0,0,1,3
7.4,11.5,1,0,2,0,0,1,3
6.4,9.4,1,0,2,0,0,1,3
6.7,14.7,1,0,2,0,0,1,3
4.5,6.7,1,0,2,0,0,1,3
4.9,5.5,1,0,2,0,0,1,3
5,11.1,1,0,2,0,0,1,3
4.7,9.4,1,0,2,0,0,1,3
5.5,9.5,1,0,2,0,0,1,3
5.8,12.5,1,0,2,0,0,1,3
9.5,7.6,1,0,2,0,0,1,3
4.7,10.7,1,0,2,0,0,1,3
5.3,8.7,1,0,2,0,0,1,3
4.8,11.3,1,0,2,0,0,1,3
4.6,8.6,1,0,2,0,0,1,3
4.9,12.2,1,0,2,0,0,1,3
7.4,13.3,1,0,2,0,0,1,3
8.6,17,1,0,2,0,0,1,3
